project,technologies
dgraph,"['docker', 'docker-compose', 'github', 'github issues', 'github-action', 'golangci-lint', 'markdownlint', 'npm', 'prometheus', 'renovate', 'vscode']"
devise,"['dependabot', 'devcontainer']"
classnames,"['dependabot', 'github-action', 'npm']"
meteor_meteor,"['circleci', 'dependabot', 'eslint', 'github', 'github issues', 'github-action', 'jekyll', 'netlify', 'npm', 'renovate', 'travis', 'tsconfig']"
zxing,"['android', 'dependabot', 'github-action', 'maven']"
kitty,"['dependabot', 'github funding', 'github-action', 'poetry']"
ruby,"['cargo', 'dependabot', 'docker', 'github', 'github-action', 'rubocop', 'travis', 'vcpkg', 'vscode']"
DeepSpeech,"['android', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'npm', 'readthedocs', 'tsconfig']"
tabler,"['changesets', 'dependabot', 'docker', 'docker-compose', 'github', 'github funding', 'github issues', 'github-action', 'gitpod', 'npm', 'pnpm', 'turborepo', 'vercel', 'vscode']"
FlClash,"['android', 'cargo', 'flutter', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'vscode']"
bokeh,"['codecov', 'django', 'github funding', 'github issues', 'github-action', 'npm', 'poetry', 'pre-commit', 'ruff', 'tsconfig']"
beego,"['deepsource', 'dependabot', 'github-action']"
windows,"['dependabot', 'devcontainer', 'docker', 'github issues', 'github-action', 'renovate']"
Qwen,"['docker', 'github issues', 'github-action']"
git-extras,"['dependabot', 'github-action']"
fish-speech,"['docker-compose', 'github issues', 'github-action', 'mkdocs', 'poetry', 'pre-commit', 'readthedocs']"
TrafficMonitor,"['github issues', 'github-action']"
docs,"['amplify', 'cspell', 'dependabot', 'docker', 'github-action', 'npm', 'pnpm', 'tsconfig', 'vscode']"
Chart.js,"['codeclimate', 'dependabot', 'eslint', 'github', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig']"
immich-app_immich,"['android', 'devcontainer', 'docker', 'docker-compose', 'flutter', 'github', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'npm', 'pnpm', 'poetry', 'prometheus', 'renovate', 'travis', 'tsconfig', 'vscode']"
rollup,"['cargo', 'codecov', 'dependabot', 'github funding', 'github issues', 'github-action', 'npm', 'prettier', 'renovate', 'rust', 'rustfmt', 'tsconfig', 'vscode']"
vuetify,"['crowdin', 'docker', 'docker-compose', 'eslint', 'fuel', 'github', 'github funding', 'github issues', 'github-action', 'lerna', 'npm', 'pnpm', 'renovate', 'tsconfig']"
sing-box,"['docker', 'github funding', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'mkdocs', 'renovate']"
biome,"['cargo', 'changesets', 'clippy', 'devcontainer', 'github', 'github issues', 'github-action', 'npm', 'pnpm', 'renovate', 'rust', 'rustfmt', 'taplo', 'tsconfig']"
v2rayN,"['dependabot', 'github issues', 'github-action']"
frp,"['circleci', 'github funding', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'npm', 'prettier', 'tsconfig']"
Scrapegraph-ai,"['codebeaver', 'docker', 'docker-compose', 'github funding', 'github-action', 'poetry', 'pre-commit', 'readthedocs']"
node,"['docker-compose', 'github-action', 'prometheus']"
the-swift-programming-language-in-chinese,"['gitbook', 'github funding', 'github issues', 'github-action', 'npm']"
TryGhost_Ghost,"['codecov', 'docker', 'github funding', 'github issues', 'github-action', 'lerna', 'npm', 'prometheus', 'tsconfig', 'vscode']"
maui,"['android', 'dependabot', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'vscode']"
xyflow,"['changesets', 'github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'prettier', 'tsconfig', 'turborepo']"
CyberChef,"['cspell', 'devcontainer', 'docker', 'github-action', 'npm']"
guzzle,"['docker', 'github', 'github funding', 'github issues', 'github-action']"
ionic-team_ionic-framework,"['docker', 'eslint', 'github', 'github issues', 'github-action', 'lerna', 'npm', 'stylelint', 'tsconfig']"
gleam,"['cargo', 'clippy', 'cross', 'dependabot', 'github-action', 'vscode']"
socket.io,"['eslint', 'github issues', 'github-action', 'npm', 'tsconfig']"
filament,"['android', 'appveyor', 'azure pipelines', 'cirrus', 'cmake', 'codecov', 'dependabot', 'docker', 'docker-compose', 'drone', 'eslint', 'flutter', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'jekyll', 'maven', 'npm', 'poetry', 'pre-commit', 'readthedocs', 'reuse', 'snapscraft', 'travis']"
drawdb,"['docker', 'github funding', 'github-action', 'npm', 'prettier', 'vercel']"
Bilibili-Evolved,"['github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig', 'vscode']"
react-native-vector-icons,"['android', 'docker', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'lefthook', 'lerna', 'npm', 'pnpm', 'tsconfig', 'turborepo']"
conductor,"['dependabot', 'docker', 'docker compose', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'log4j', 'mkdocs', 'nginx', 'npm', 'prettier', 'redis', 'spring', 'tsconfig']"
HumanSignal_label-studio,"['babel', 'codecov', 'dependabot', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'github', 'github issues', 'github-action', 'heroku', 'lerna', 'netlify', 'npm', 'poetry', 'pre-commit', 'prometheus', 'stylelint', 'travis', 'tsconfig']"
