project,technologies
faas,"['docker', 'github funding', 'github-action', 'golangci-lint', 'goreleaser', 'json', 'travis', 'yaml']"
prettier,"['codecov', 'cspell', 'dependabot', 'github', 'github issues', 'github-action', 'gitpod', 'json', 'netlify', 'npm', 'tsconfig', 'vscode', 'yaml', 'yarn']"
yjs,"['github-action', 'jsdoc', 'json', 'markdownlint', 'nodejs', 'npm', 'tsconfig']"
xgboost,"['configparser', 'github', 'github funding', 'github-action', 'json', 'maven', 'poetry', 'readthedocs', 'yaml']"
trix,"['babel', 'github', 'github-action', 'npm']"
flash-attention,"['docker', 'github-action', 'poetry', 'yaml']"
umami-software_umami,"['cypress', 'docker', 'docker-compose', 'eslint', 'github issues', 'github-action', 'json', 'netlify', 'npm', 'pnpm', 'prettier', 'stylelint', 'toml', 'tsconfig', 'yaml']"
quivr,"['github funding', 'github issues', 'github-action', 'json', 'poetry', 'pre-commit', 'readthedocs', 'tox', 'vercel', 'vscode', 'yaml']"
driver.js,"['github funding', 'npm', 'pnpm', 'tsconfig']"
spotube,"['android', 'dependabot', 'docker', 'flutter', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'npm', 'pnpm', 'tsconfig', 'vscode', 'yaml']"
gopeed,"['android', 'docker', 'docker-compose', 'flutter', 'github', 'github funding', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'nodejs', 'npm', 'yaml']"
cline,"['buf', 'changesets', 'dependabot', 'eslint', 'github issues', 'github-action', 'json', 'mocha', 'nodejs', 'npm', 'prettier', 'streamlit', 'tsconfig', 'vscode', 'yaml']"
strapi_strapi,"['codecov', 'dependabot', 'docker-compose', 'eslint', 'fuel', 'github', 'github funding', 'github issues', 'github-action', 'json', 'lerna', 'npm', 'tsconfig', 'vercel', 'vscode', 'yaml', 'yarn']"
semantic-release,"['github issues', 'github-action', 'nodejs', 'npm']"
ingress-nginx,"['chart testing', 'dependabot', 'docker', 'github', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'helm', 'json', 'kubernetes', 'lerna', 'markdownlint', 'mkdocs', 'netlify', 'nginx', 'prometheus', 'yaml']"
arthas,"['configparser', 'docker', 'github', 'github-action', 'json', 'log4j', 'maven', 'maven-wrapper', 'nodejs', 'npm', 'prettier', 'spring', 'tsconfig', 'vscode']"
deskflow,"['configparser', 'cspell', 'github', 'github issues', 'github-action', 'json', 'reuse', 'sonar-qube', 'vcpkg', 'yaml']"
ohmyzsh,"['dependabot', 'devcontainer', 'github', 'github funding', 'github issues', 'github-action', 'gitpod', 'json', 'vercel', 'yaml']"
rocketmq,"['configparser', 'github', 'github issues', 'github-action', 'json', 'maven', 'yaml']"
onnx,"['codecov', 'dependabot', 'github', 'github issues', 'github-action', 'poetry', 'reuse', 'toml']"
editor.js,"['github funding', 'github issues', 'github-action', 'json', 'npm', 'postcss', 'tsconfig', 'tslint', 'vscode']"
micropython,"['dependabot', 'github funding', 'github issues', 'github-action', 'json', 'poetry', 'pre-commit', 'yaml']"
typesense,"['configparser', 'github issues']"
agenticSeek,"['configparser', 'docker', 'docker-compose', 'github funding', 'json', 'nodejs', 'npm', 'poetry', 'pre-commit', 'toml', 'yaml']"
lvgl,"['cmake', 'codecov', 'configparser', 'dependabot', 'devcontainer', 'github', 'github funding', 'github issues', 'github-action', 'json', 'pre-commit', 'typos', 'yaml']"
nuclei,"['claude code', 'dependabot', 'docker', 'github', 'github issues', 'goreleaser', 'helm', 'json', 'kubernetes', 'yaml']"
zoxide,"['cargo', 'cross', 'deepsource', 'dependabot', 'github-action', 'rustfmt']"
elastic_elasticsearch,"['configparser', 'docker', 'docker-compose', 'elasticsearch', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'lerna', 'log4j', 'npm', 'renovate', 'toml', 'tsconfig', 'yaml']"
requests,"['dependabot', 'github funding', 'github-action', 'poetry', 'pre-commit', 'readthedocs', 'tox']"
spacedrive,"['android', 'cargo', 'clippy', 'cspell', 'cypress', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'rust', 'rustfmt', 'taplo', 'toml', 'tsconfig', 'turborepo', 'vercel', 'vscode', 'yaml', 'zed']"
shellcheck,"['dependabot', 'docker', 'github-action', 'snapscraft', 'yaml']"
ui,"['changesets', 'dependabot', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'json', 'kodiak', 'npm', 'pnpm', 'tsconfig', 'turborepo', 'vscode']"
gethomepage_homepage,"['crowdin', 'dependabot', 'devcontainer', 'docker', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'helm', 'json', 'mkdocs', 'npm', 'pnpm', 'pre-commit', 'vscode', 'yaml']"
fmt,"['android', 'dependabot', 'github-action', 'mkdocs']"
btop,"['github funding', 'github-action', 'renovate', 'snapscraft']"
puppeteer,"['apify', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig', 'tsdoc', 'vscode']"
WSL,"['github', 'github issues', 'github-action', 'json', 'mkdocs', 'triagebot', 'yaml']"
ChromeAppHeroes,"['configparser', 'github funding', 'json', 'nodejs', 'npm']"
fuels-ts,"['cargo', 'changesets', 'dependabot', 'eslint', 'fuel', 'github', 'github issues', 'github-action', 'graphql', 'json', 'knip', 'nodemon', 'npm', 'pnpm', 'toml', 'tsconfig', 'tsdoc', 'turborepo', 'vercel', 'vscode', 'yaml']"
QuickLook,"['appveyor', 'github-action', 'json']"
casbin,"['github', 'github-action', 'golangci-lint', 'json', 'travis']"
certbot,"['codecov', 'configparser', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'json', 'mypy', 'nginx', 'poetry', 'readthedocs', 'snapscraft', 'tox', 'yaml']"
rrweb,"['changesets', 'eslint', 'github config', 'github funding', 'github issues', 'github-action', 'json', 'markdownlint', 'npm', 'tsconfig', 'turborepo', 'vscode', 'yarn']"
zstd,"['cirrus', 'dependabot', 'docker', 'github-action', 'snapscraft']"
fd,"['cargo', 'cross', 'dependabot', 'github funding', 'github issues', 'github-action', 'rustfmt']"
monolog,"['dependabot', 'github funding', 'github-action', 'json', 'yaml']"
PicGo,"['appveyor', 'github funding', 'github issues', 'github-action', 'npm', 'tsconfig', 'vscode', 'yaml']"
langgenius_dify,"['apify', 'configparser', 'dependabot', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'github', 'github issues', 'github-action', 'json', 'npm', 'oxc', 'pnpm', 'poetry', 'pyright', 'ruff', 'toml', 'tsconfig', 'vscode', 'yaml']"
koodo-reader,"['docker', 'docker-compose', 'github issues', 'github-action', 'json', 'npm', 'tsconfig', 'vercel']"
php-src,"['circleci', 'codecov', 'github', 'github issues', 'github-action', 'json']"
gogs,"['codecov', 'configparser', 'deepsource', 'dependabot', 'docker', 'github issues', 'github-action', 'golangci-lint', 'json', 'travis', 'yaml']"
linux-command,"['docker', 'github funding', 'github-action', 'helm', 'json', 'kubernetes', 'npm', 'renovate', 'vercel']"
